District,District Name,Subgroup,Valid Tests,Participation Rate,Average English Score,Average Math Score,Average Reading Score,Average Science Score,Average Composite Score,Number Scoring 21 or Higher,Percent Scoring 21 or Higher,Number Scoring Below 19,Percent Scoring Below 19
950,Wilson County,Students with Disabilities,141,99,15.1,16.2,16.2,17.2,16.3,18,12.8,110,78
961,Alvin C. York Agricultural Institute,All Students,98,100,19.8,19.2,20,20.1,19.9,42,42.9,45,45.9
961,Alvin C. York Agricultural Institute,Black/Hispanic/Native American,3,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
961,Alvin C. York Agricultural Institute,Economically Disadvantaged,40,100,18.4,17.8,18.9,18.9,18.7,14,35,22,55
961,Alvin C. York Agricultural Institute,Students with Disabilities,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
963,Tennessee School for Blind,All Students,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
963,Tennessee School for Blind,Economically Disadvantaged,2,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
963,Tennessee School for Blind,English Learners,1,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
963,Tennessee School for Blind,Students with Disabilities,6,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
964,Tennessee Schools for the Deaf,All Students,10,100,15.1,14.9,14.9,16.4,15.5,1,10,8,80
964,Tennessee Schools for the Deaf,Black/Hispanic/Native American,4,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
964,Tennessee Schools for the Deaf,Economically Disadvantaged,4,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students,<10 students
964,Tennessee Schools for the Deaf,Students with Disabilities,10,100,15.1,14.9,14.9,16.4,15.5,1,10,8,80
970,Department Of Children's Services Education Division,All Students,50,41,13.1,14.5,14,15.3,14.4,<1%,<1%,Suppressed,Suppressed
970,Department Of Children's Services Education Division,Black/Hispanic/Native American,22,38,12.6,14.3,13.1,15.1,13.8,<1%,<1%,Suppressed,Suppressed
